X,Y,oa11cd,lad11cd
-0.952906128687553,51.6897358161457,E00145678,E07000179
-0.932607620700253,51.6767717531642,E00145679,E07000179
-0.959147769346441,51.7020351496632,E00145680,E07000179
-0.934915961957951,51.7025138180757,E00145681,E07000179
-0.998038983505485,51.7161483424984,E00145682,E07000179
-1.00858545170656,51.7154547521002,E00145683,E07000179
-0.93439940871137,51.7383447558708,E00145684,E07000179
-1.09799441687735,51.6215271233422,E00145685,E07000179
-1.08095781846363,51.6156461795317,E00145686,E07000179
-1.11519360493609,51.6217151246745,E00145687,E07000179
-1.10660743637037,51.620155756081,E00145688,E07000179
-1.11122553341762,51.6132995597852,E00145689,E07000179
-1.09715226350037,51.6157287374852,E00145690,E07000179
-1.10974899670762,51.6200800613583,E00145691,E07000179
-1.08059245263922,51.6168793007311,E00145693,E07000179
-1.09349146355389,51.624873928007,E00145694,E07000179
-1.11261325238895,51.6288621056059,E00145695,E07000179
-1.10387745727086,51.6263450204023,E00145696,E07000179
-1.10456407741072,51.622841834016,E00145697,E07000179
-1.10162500631013,51.6383772599164,E00145698,E07000179
-1.05810937677552,51.6432552553076,E00145699,E07000179
-1.07334185790958,51.6179702733792,E00145700,E07000179
-1.06208950535418,51.6212446317299,E00145701,E07000179
-1.07726131102625,51.6110235931238,E00145702,E07000179
-1.17473448275132,51.6653876954048,E00145703,E07000179
-1.17016702910214,51.6643803262031,E00145704,E07000179
-1.17492712516356,51.6636189588025,E00145705,E07000179
-1.16751338063327,51.6636612664463,E00145706,E07000179
-1.17801650093607,51.6614928098962,E00145707,E07000179
-1.17026252006787,51.660700937113,E00145708,E07000179
-1.17234825254672,51.6588369840744,E00145709,E07000179
-1.16289735377069,51.6630362231,E00145710,E07000179
-1.164279098873,51.6457230539857,E00145711,E07000179
-1.16169184025739,51.6411765260982,E00145712,E07000179
-1.1721802865616,51.6509257215792,E00145713,E07000179
-1.1705526939024,51.6440094180826,E00145714,E07000179
-1.13815630100108,51.6636445755748,E00145715,E07000179
-1.10587727359353,51.6586166505696,E00145716,E07000179
-1.13505802267155,51.6780027167815,E00145717,E07000179
-1.1490479888774,51.6863094252464,E00145718,E07000179
-1.1191297470266,51.6863507030162,E00145719,E07000179
-1.13427732388439,51.6441937709989,E00145720,E07000179
-1.13154535696238,51.628285143419,E00145721,E07000179
-1.14430619242145,51.634634667605,E00145722,E07000179
-1.14870671485135,51.6097391993099,E00145723,E07000179
-1.16298056705145,51.6152645934081,E00145724,E07000179
-1.15985221461546,51.6146292098825,E00145725,E07000179
-1.16255535271996,51.6160326490807,E00145727,E07000179
-1.2007960126255,51.6357996413247,E00145729,E07000179
-1.20899867075871,51.6429610004268,E00145730,E07000179
-1.21731107891512,51.6381093739042,E00145731,E07000179
-1.21295192431142,51.6347507141729,E00145732,E07000179
-1.07712324868569,51.6659921059594,E00145733,E07000179
-1.068516047113,51.6661506433664,E00145734,E07000179
-1.07828205757614,51.674231967717,E00145735,E07000179
-1.08029063299687,51.6652840607726,E00145736,E07000179
-1.0856768224479,51.6712942492623,E00145737,E07000179
-1.08158382137814,51.6695501983912,E00145738,E07000179
-1.08571384797938,51.6685857315674,E00145739,E07000179
-1.08064674780957,51.6685211425522,E00145740,E07000179
-1.07745335417364,51.6676521916935,E00145741,E07000179
-0.925680847254202,51.5578114547289,E00145742,E07000179
-0.95678468232086,51.5650008045569,E00145743,E07000179
-1.03452640630422,51.5323230881086,E00145744,E07000179
-1.01445083608987,51.5536472034781,E00145745,E07000179
-1.05942975163243,51.5452379569277,E00145746,E07000179
-1.03210071308654,51.5542638266606,E00145747,E07000179
-0.988002006715177,51.5530312436548,E00145748,E07000179
-0.946792731925979,51.5408620360469,E00145749,E07000179
-0.910197164593785,51.7028378367315,E00145750,E07000179
-0.89777558232268,51.6885670118509,E00145751,E07000179
-0.908094185493482,51.6986390612655,E00145752,E07000179
-0.912394759827985,51.6967532348385,E00145753,E07000179
-0.919178344272571,51.6988515871295,E00145754,E07000179
-0.912720841217935,51.7184956611148,E00145755,E07000179
-0.901668676382533,51.706763619305,E00145756,E07000179
-0.907724265227293,51.7076680168373,E00145757,E07000179
-0.919226143551116,51.706528561581,E00145758,E07000179
-0.909587423296025,51.7050696331188,E00145759,E07000179
-0.907389892055315,51.7011594699834,E00145760,E07000179
-0.902404768927437,51.6993475260819,E00145761,E07000179
-0.912872927082036,51.7009056296601,E00145762,E07000179
-0.916570817688976,51.7021737492358,E00145763,E07000179
-0.915139048919184,51.7007574353982,E00145764,E07000179
-0.918255664762074,51.7008405162017,E00145765,E07000179
-0.918260148024019,51.6996799452707,E00145766,E07000179
-0.910934626242285,51.6984956574662,E00145767,E07000179
-1.14993892773584,51.572286055618,E00145768,E07000179
-1.1600563372243,51.5730061512979,E00145769,E07000179
-1.1522829273728,51.5727442722572,E00145770,E07000179
-1.17748058481554,51.5556047978608,E00145771,E07000179
-1.14493349572752,51.5745165963993,E00145772,E07000179
-1.14045051120876,51.5676172452411,E00145773,E07000179
-1.15159322514175,51.5853374380644,E00145774,E07000179
-1.14182231700246,51.5777315664447,E00145775,E07000179
-1.15808611708557,51.5741405517924,E00145776,E07000179
-1.15169331352807,51.5758884745015,E00145777,E07000179
-1.1550316449874,51.5761675702376,E00145778,E07000179
-1.16716660851591,51.545288725903,E00145779,E07000179
-1.15173271503081,51.5478569415899,E00145780,E07000179
-1.12968426105675,51.5974293626464,E00145781,E07000179
-1.12471404671187,51.595409719925,E00145783,E07000179
-1.12880624280836,51.5956887998326,E00145784,E07000179
-1.10216351930862,51.5828557882064,E00145785,E07000179
-1.11383855570657,51.6005655704939,E00145786,E07000179
-1.11318824193155,51.5966913123977,E00145787,E07000179
-1.11331132382484,51.5976857552615,E00145788,E07000179
-1.09679514090295,51.59332080216,E00145789,E07000179
-1.07072375004527,51.5638204112396,E00145790,E07000179
-1.26588555050854,51.6080036194669,E00145792,E07000179
-1.2427251593415,51.6083021692471,E00145794,E07000179
-1.26000389394004,51.6089515989016,E00145795,E07000179
-1.24478591111012,51.6074001327438,E00145796,E07000179
-1.23849907928411,51.6083928839589,E00145797,E07000179
-1.25167584391965,51.6072647948631,E00145798,E07000179
-1.25735819274415,51.6063244883753,E00145799,E07000179
-1.26141447375885,51.6043453838379,E00145800,E07000179
-1.26411377169391,51.6100207695818,E00145802,E07000179
-1.26342190225569,51.614312957667,E00145803,E07000179
-1.25760180085417,51.6107358408081,E00145804,E07000179
-1.25029874002361,51.6114338260093,E00145805,E07000179
-1.24715931302924,51.6112877306246,E00145806,E07000179
-1.24799208612904,51.609463372496,E00145807,E07000179
-1.2559107367185,51.6088251337304,E00145808,E07000179
-1.23178080714267,51.6142725748774,E00145809,E07000179
-1.23143523187043,51.6100619325033,E00145810,E07000179
-1.23086009209636,51.6157502735852,E00145811,E07000179
-1.22468349954948,51.6162155854475,E00145812,E07000179
-1.22791967145203,51.6126949221475,E00145813,E07000179
-1.23283687961454,51.6118121495983,E00145814,E07000179
-1.24822743278295,51.6177462960267,E00145815,E07000179
-1.23998783126605,51.6119427638545,E00145816,E07000179
-1.22847669291749,51.6106129953491,E00145817,E07000179
-1.23505614617031,51.6111543423238,E00145818,E07000179
-1.2211683344179,51.6081736795721,E00145819,E07000179
-1.23296260002756,51.6092261967139,E00145820,E07000179
-1.22959365572958,51.6080657588595,E00145821,E07000179
-1.24347303550027,51.6214297210065,E00145822,E07000179
-1.23937220423367,51.6201292293814,E00145823,E07000179
-1.24113304529182,51.6187386038706,E00145824,E07000179
-1.23706284049338,51.618485996137,E00145825,E07000179
-1.24331044699153,51.6183389306014,E00145826,E07000179
