X,Y,oa11cd,lad11cd
-1.9173268786268,52.6161751959899,E00051759,E08000030
-1.91494672922302,52.6117448953561,E00051760,E08000030
-1.92457543957473,52.6010428822553,E00051761,E08000030
-1.91308271221941,52.5927642875888,E00051762,E08000030
-1.93649467016431,52.5991084882691,E00051763,E08000030
-1.93405306583929,52.6004236085226,E00051764,E08000030
-1.91801524445048,52.6019795884969,E00051765,E08000030
-1.93795615004827,52.6007461538941,E00051766,E08000030
-1.92157057656943,52.6008988965367,E00051767,E08000030
-1.9181220674697,52.5995470213893,E00051768,E08000030
-1.92788603347566,52.5997310728617,E00051769,E08000030
-1.93402805581895,52.5983664576164,E00051770,E08000030
-1.90981216499803,52.5949767250017,E00051771,E08000030
-1.92675623939818,52.5960983061165,E00051772,E08000030
-1.92023953415465,52.5969244662,E00051773,E08000030
-1.93330347846727,52.5978022246899,E00051774,E08000030
-1.92998460426342,52.5973618241224,E00051775,E08000030
-1.92335223323925,52.5983723773059,E00051776,E08000030
-1.91594432074139,52.5963979502741,E00051777,E08000030
-1.9180233193004,52.5960720237259,E00051778,E08000030
-1.92015412170686,52.5927453644875,E00051779,E08000030
-1.91390362436622,52.5853779370084,E00051780,E08000030
-1.91950189427893,52.6174145370032,E00051781,E08000030
-1.92224550132902,52.6188237709893,E00051782,E08000030
-1.92131549635389,52.6154148979057,E00051783,E08000030
-1.92231231208761,52.6159156793611,E00051784,E08000030
-1.89808149880052,52.6096662993882,E00051785,E08000030
-1.91620805007542,52.6147806612986,E00051786,E08000030
-1.9184744238491,52.6144366424326,E00051787,E08000030
-1.91859680629311,52.6121555537211,E00051788,E08000030
-1.91521179101525,52.6085446675761,E00051789,E08000030
-1.91891011578164,52.6089060275829,E00051791,E08000030
-1.91467860502674,52.6057967994605,E00051793,E08000030
-1.91805412958298,52.6064274352851,E00051794,E08000030
-1.91253481101309,52.602708441959,E00051795,E08000030
-1.93288184959716,52.6026585820709,E00051796,E08000030
-1.93353844002029,52.5904692061465,E00051797,E08000030
-1.91528272516188,52.601393349597,E00051798,E08000030
-1.92814965375473,52.6016285181526,E00051799,E08000030
-1.93080112131546,52.6003911250355,E00051800,E08000030
-1.92185661144427,52.6295314345842,E00051801,E08000030
-1.93162793724524,52.6327141461292,E00051802,E08000030
-1.90988426711614,52.6255568618134,E00051803,E08000030
-1.91242572886687,52.6202428520514,E00051804,E08000030
-1.91469026190616,52.6175029645763,E00051805,E08000030
-1.91135663252317,52.614190137325,E00051806,E08000030
-1.91863291120851,52.6318710776725,E00051807,E08000030
-1.92101600040025,52.6309957847447,E00051808,E08000030
-1.9212538012014,52.6370199838789,E00051809,E08000030
-1.92281834660401,52.6376053646734,E00051810,E08000030
-1.92978725725464,52.6366802880503,E00051811,E08000030
-1.9205138958166,52.6358518902035,E00051812,E08000030
-1.92606791636896,52.6340003814646,E00051813,E08000030
-1.92234591058206,52.6333586309708,E00051814,E08000030
-1.92746138610729,52.6342653299463,E00051815,E08000030
-1.91454571471111,52.6312841348591,E00051816,E08000030
-1.93454341634718,52.6301325193834,E00051817,E08000030
-1.94523030267374,52.6296107271402,E00051818,E08000030
-1.92655148816469,52.628616248401,E00051819,E08000030
-1.93292491630986,52.6282644933663,E00051820,E08000030
-1.91725445538026,52.6261074403425,E00051821,E08000030
-1.92424375406779,52.6285762707799,E00051822,E08000030
-1.91960756826739,52.6272495808572,E00051823,E08000030
-1.92778824468395,52.6268237101293,E00051824,E08000030
-1.92254406582321,52.6265982305828,E00051825,E08000030
-1.91012069316345,52.6184207474448,E00051826,E08000030
-1.92394764956393,52.6250725759459,E00051827,E08000030
-1.93140358847394,52.6222236926517,E00051828,E08000030
-1.93031341251761,52.624890479032,E00051829,E08000030
-1.93851637485219,52.6235014888036,E00051830,E08000030
-1.92453300525103,52.6227002848338,E00051831,E08000030
-1.91642333716487,52.6214379080035,E00051832,E08000030
-1.91972190610993,52.6215609417686,E00051833,E08000030
-1.91388366852766,52.6196208038947,E00051834,E08000030
-1.9167849422484,52.619340513444,E00051835,E08000030
-1.90282318700524,52.6203861566987,E00051836,E08000030
-1.91331074365567,52.6140052318392,E00051837,E08000030
-1.90894177405321,52.6145354155832,E00051838,E08000030
-1.91440639375519,52.6426731343793,E00051839,E08000030
-1.92077278471802,52.6403089338286,E00051840,E08000030
-1.92498755126156,52.6384424229974,E00051841,E08000030
-1.9268025486218,52.6396289737122,E00051842,E08000030
-2.02300069138186,52.5679260786499,E00051843,E08000030
-2.02594512246233,52.5668993966318,E00051844,E08000030
-2.02778356943137,52.568303465221,E00051845,E08000030
-2.03326762369013,52.5682254868005,E00051846,E08000030
-2.02202011719951,52.5922384304535,E00051847,E08000030
-2.0331040445426,52.5924428688745,E00051848,E08000030
-2.02036885726531,52.5866892509086,E00051849,E08000030
-2.02757793909767,52.5850782620457,E00051850,E08000030
-2.03426406299949,52.5707793164421,E00051851,E08000030
-2.02338123310652,52.5699575728091,E00051852,E08000030
-2.02831157422091,52.5695729629891,E00051853,E08000030
-2.01643944287697,52.5700596549275,E00051854,E08000030
-2.01738949324287,52.5924311907439,E00051855,E08000030
-2.01752252732952,52.5952329867881,E00051856,E08000030
-2.02294189029741,52.5950860034875,E00051857,E08000030
-2.0284505721818,52.593955105731,E00051858,E08000030
-2.02329383209251,52.5935603320997,E00051859,E08000030
-2.02658784279998,52.5934732099331,E00051860,E08000030
-2.03011778320206,52.5916644195616,E00051861,E08000030
-2.02556443984605,52.5916798774123,E00051862,E08000030
-2.02431249742897,52.5905513478192,E00051863,E08000030
-2.03074495751646,52.5892776241652,E00051864,E08000030
-2.02588072679363,52.5895419186263,E00051865,E08000030
-2.01716720672496,52.5871872580267,E00051866,E08000030
-2.02069718195109,52.5899140022208,E00051867,E08000030
-2.02791819320315,52.587528178592,E00051868,E08000030
-2.0239991648614,52.5876803702313,E00051869,E08000030
-2.02704314263144,52.5861433545071,E00051870,E08000030
-2.02717223937075,52.5838335764095,E00051871,E08000030
-2.01820533138463,52.5827112578905,E00051872,E08000030
-2.02413136139513,52.5806642063175,E00051873,E08000030
-2.02233662266553,52.5754535272832,E00051874,E08000030
-2.03747267595412,52.578098707815,E00051875,E08000030
-2.03905330639143,52.5757913510656,E00051876,E08000030
-2.03186681553216,52.5783692542354,E00051877,E08000030
-2.03784427915838,52.5751381895582,E00051878,E08000030
-2.03614627564728,52.5739904355167,E00051879,E08000030
-2.03332094472966,52.5725996279062,E00051880,E08000030
-2.03663312574367,52.5697911397969,E00051881,E08000030
