X,Y,oa11cd,lad11cd
-0.054716166257096,51.5317278588368,E00021141,E09000030
-0.046566690719241,51.5317121068854,E00021143,E09000030
-0.051596167970881,51.531519227951,E00021145,E09000030
-0.060818842224474,51.5312733903855,E00021146,E09000030
-0.049779988451489,51.5311979869848,E00021147,E09000030
-0.054514533994832,51.5305629918594,E00021148,E09000030
-0.059657523086466,51.5312281778519,E00021149,E09000030
-0.052888001538496,51.5307796112018,E00021150,E09000030
-0.058428879196782,51.5315846028533,E00021151,E09000030
-0.064991049370963,51.5308642276621,E00021152,E09000030
-0.060961719522687,51.5300162149192,E00021153,E09000030
-0.062717261822669,51.5305001586403,E00021154,E09000030
-0.062355055436952,51.5313505761619,E00021155,E09000030
-0.056427429806664,51.5301034413758,E00021156,E09000030
-0.057996211966091,51.5308220918909,E00021157,E09000030
-0.059530980633239,51.5303146869588,E00021158,E09000030
-0.064073041769878,51.5295736512024,E00021159,E09000030
-0.05952332549876,51.5287641010572,E00021160,E09000030
-0.061420891025708,51.528719558132,E00021161,E09000030
-0.057250584197613,51.5287298805467,E00021162,E09000030
-0.063590260904573,51.528168987836,E00021163,E09000030
-0.062629443944626,51.5279486152085,E00021164,E09000030
-0.05830494077718,51.5290678046552,E00021165,E09000030
-0.060269749349062,51.5278076282733,E00021166,E09000030
-0.062763403934377,51.5270694725237,E00021167,E09000030
-0.057330190306567,51.5278646282794,E00021168,E09000030
-0.061520796794551,51.534609475216,E00021169,E09000030
-0.052975140042487,51.5337793052983,E00021170,E09000030
-0.054630815891199,51.5341703220873,E00021171,E09000030
-0.051530932569989,51.5336218168796,E00021172,E09000030
-0.047053004695165,51.5324995971994,E00021173,E09000030
-0.06228820888747,51.5327529453734,E00021174,E09000030
-0.049551210189576,51.5324894586537,E00021175,E09000030
-0.053043949457848,51.5321186196721,E00021176,E09000030
-0.064032372427455,51.5325542974967,E00021177,E09000030
-0.052351528718484,51.5211314958176,E00021179,E09000030
-0.059732474612032,51.5221380308594,E00021180,E09000030
-0.057723532069334,51.5269180399732,E00021181,E09000030
-0.061705816589606,51.5259964669143,E00021182,E09000030
-0.059600016263253,51.5261026814887,E00021183,E09000030
-0.057861325850664,51.5256056450887,E00021184,E09000030
-0.050457070414978,51.5232421602867,E00021185,E09000030
-0.057608579825744,51.5224218038218,E00021186,E09000030
-0.054108246947407,51.5249790149172,E00021187,E09000030
-0.049660745638929,51.5225451972615,E00021188,E09000030
-0.054622958801243,51.5216377411998,E00021189,E09000030
-0.055580173379542,51.5205810628837,E00021190,E09000030
-0.057959379039459,51.5209327038645,E00021191,E09000030
-0.056115265544574,51.5221107249349,E00021192,E09000030
-0.060457679253279,51.5194586773088,E00021193,E09000030
-0.06313102223468,51.5204252341035,E00021194,E09000030
-0.054058806487486,51.5268378429569,E00021195,E09000030
-0.051549815546132,51.5270700301113,E00021196,E09000030
-0.057192167098183,51.5252289447029,E00021197,E09000030
-0.052352655274756,51.5273864275565,E00021198,E09000030
-0.052179487863416,51.5267208227717,E00021199,E09000030
-0.056325364815639,51.526516195446,E00021200,E09000030
-0.051363970246763,51.5253699811072,E00021201,E09000030
-0.050493109403504,51.5261837040667,E00021202,E09000030
-0.055320749917234,51.5240964485808,E00021203,E09000030
-0.062741705870466,51.5240053700382,E00021204,E09000030
-0.051534317341764,51.523971943585,E00021205,E09000030
-0.053868572276974,51.524159101629,E00021206,E09000030
-0.06040606052334,51.5246524720848,E00021207,E09000030
-0.048403013517295,51.5235283052197,E00021208,E09000030
-0.053446328244411,51.5236400735915,E00021209,E09000030
-0.052577398428775,51.5240633686323,E00021210,E09000030
-0.04996030081378,51.5242706816126,E00021211,E09000030
-0.05314141877296,51.5231372276631,E00021212,E09000030
-0.061035267660001,51.5226453363066,E00021213,E09000030
-0.047537004521697,51.5222071977861,E00021214,E09000030
-0.051265211174302,51.5219622859686,E00021215,E09000030
-0.057821316162493,51.5237798668726,E00021216,E09000030
-0.056359950341644,51.523709082191,E00021217,E09000030
-0.006163337185761,51.4891519258815,E00021218,E09000030
-0.011415196162439,51.4890857006345,E00021219,E09000030
-0.010033495966623,51.4873443377897,E00021220,E09000030
-0.00768779454571,51.5030313741938,E00021223,E09000030
-0.010735817833764,51.4950001284758,E00021224,E09000030
-0.007320728777002,51.4929255688846,E00021225,E09000030
-0.011571664560125,51.4923394968086,E00021227,E09000030
-0.007327594204325,51.4896701414197,E00021228,E09000030
-0.008126870044478,51.4888211550647,E00021229,E09000030
-0.004881005388436,51.488618547239,E00021230,E09000030
-0.011950102786265,51.4865446865205,E00021231,E09000030
-0.007777597232594,51.5094300375011,E00021235,E09000030
-0.011594420373483,51.5102248617852,E00021236,E09000030
-0.011080770893798,51.5032548335822,E00021238,E09000030
-0.013157003363516,51.500730356479,E00021239,E09000030
