X,Y,objectid,oa11cd,lad11cd,st_areasha,st_lengths
-4.16230184515374,50.369627285392,74236,E00076567,E06000026,48200.292672,1567.46580374261
-4.13512988704759,50.36923904921,74237,E00076568,E06000026,25765.215522,981.331023332324
-4.13797656822742,50.3689643041664,74238,E00076569,E06000026,30909.308462,1505.66133639893
-4.13638908640406,50.368787171156,74239,E00076571,E06000026,11191.9706485,704.534082664844
-4.16232284183336,50.366928745338,74240,E00076572,E06000026,109611.79036,2578.4472066428
-4.13791162097202,50.3674938436978,74241,E00076573,E06000026,31289.0981025,1470.77216474898
-4.13530072939421,50.3672371626643,74242,E00076574,E06000026,23745.86301,940.70831068833
-4.14343840151995,50.3729100853449,74243,E00076575,E06000026,156912.5766295,2168.42508236282
-4.1400454214795,50.368105160821,74244,E00076577,E06000026,26257.7565095,831.547589207515
-4.15256174286168,50.3657943759678,74245,E00076578,E06000026,193930.29280175,4851.0748348782
-4.14316891341245,50.3674375617174,74246,E00076579,E06000026,46474.045424,1516.30054236267
-4.1467824388485,50.3665414326874,74247,E00076580,E06000026,19175.701947,1019.73811414639
-4.14490736116877,50.3663144681852,74248,E00076581,E06000026,8762.7516735,494.283819784131
-4.16255399745475,50.3656052013162,74249,E00076582,E06000026,31117.1338365,1140.20908779762
-4.13814944206654,50.3650889243219,74250,E00076583,E06000026,226549.22646125,2886.7667713776
-4.14976553749061,50.365171777445,74251,E00076584,E06000026,22246.369391,905.794117988001
-4.16149387001796,50.3640718982516,74252,E00076585,E06000026,11473.01203,520.098350786018
-4.15920151148701,50.4297855016115,74253,E00076588,E06000026,305212.8992335,3030.07444312655
-4.13189382469328,50.4289675300872,74254,E00076589,E06000026,71436.49784,1594.23614288799
-4.135532859379,50.4272383821148,74255,E00076590,E06000026,71298.0688935,1734.71589832141
-4.13584371171994,50.4287644948896,74256,E00076591,E06000026,56156.4375295,1874.7958691288
-4.14221772006583,50.4286545650987,74257,E00076592,E06000026,74602.63003,1590.62318632926
-4.13782261190826,50.430539650619,74258,E00076593,E06000026,38667.46056,908.631184425536
-4.11550564541578,50.4265673310374,74259,E00076594,E06000026,72512.574565,1547.39968503574
-4.12957357182202,50.4305620308239,74260,E00076595,E06000026,40304.2370355,1052.40528375992
-4.11839328197616,50.4292007803843,74261,E00076596,E06000026,77787.461798,1775.45549114744
-4.12279284211678,50.4284077759596,74262,E00076597,E06000026,213954.94984,3173.55282342135
-4.12713645614878,50.4287751720103,74263,E00076598,E06000026,56981.5832525,1645.64377407413
-4.12507860889711,50.4277660699139,74264,E00076599,E06000026,51557.1513,1543.98466214015
-4.14509601769009,50.4305236363614,74265,E00076600,E06000026,455762.9617605,5937.86615206301
-4.13012279903427,50.4272090481546,74266,E00076601,E06000026,99347.6955685,1533.51792948273
-4.14534073995009,50.427477184057,74267,E00076602,E06000026,59845.2679925,1795.04156899349
-4.13938991332052,50.4271311807945,74268,E00076603,E06000026,98108.97798,1795.30080482337
-4.14823123760312,50.4271026684094,74269,E00076604,E06000026,100391.541555,1879.62575236532
-4.13751517884555,50.4246881463106,74270,E00076605,E06000026,122960.53865,2208.61548194771
-4.14311676108291,50.4260919444639,74271,E00076606,E06000026,43920.840832,1109.54334237835
-4.11718459647469,50.4257570064571,74272,E00076607,E06000026,102394.2466045,2230.91628694851
-4.14646454873558,50.4242626844213,74273,E00076608,E06000026,107313.0387265,2504.05559150032
-4.14319453408979,50.4247485054614,74274,E00076609,E06000026,46852.5786625,1572.76264435205
-4.14037922293029,50.4226650111801,74275,E00076610,E06000026,54758.623886,1073.96830255869
-4.1103497670469,50.437774280376,74276,E00076611,E06000026,50445.2312295,1384.2857380509
-4.1142685413027,50.4381706673675,74277,E00076612,E06000026,92265.433,2075.8640992206
-4.15291719571925,50.435703790206,74278,E00076613,E06000026,54401.41816,1258.11279458805
-4.11479786650609,50.4303626898235,74279,E00076614,E06000026,190815.135114,1983.5473213362
-4.11641827824162,50.4357548744255,74280,E00076615,E06000026,63415.8056545,1246.6904125004
-4.1324358361701,50.4314962352079,74281,E00076616,E06000026,25361.1337285,1290.30272224244
-4.11209225953579,50.4346473487784,74282,E00076617,E06000026,101000.15873,2092.76345237247
-4.15358745963801,50.434335009853,74283,E00076618,E06000026,62992.873589,1541.21812663947
-4.11571179949748,50.4337647883793,74284,E00076619,E06000026,53012.9056185,1263.67576894041
-4.15117620362133,50.4323893114154,74285,E00076620,E06000026,51376.7450865,1142.92795195454
-4.15452633620225,50.4325354011905,74286,E00076621,E06000026,60294.75296,1283.55222436245
